,PDF_ID,Title,Publication Year
PDF09654,60906_8616,The effect of biochar nanoparticles on rice plant growth and the uptake of heavy metals: Implications for agronomic benefits and potential risk,2018
PDF09655,63082_10676,"b'The effect of biochar with biogas digestate or mineral fertilizer on fertility, aggregation and organic carbon content of a sandy soil_ Results of a temperate field experiment.pdf'",2020
PDF09656,16402_2541,The effect of biochars on maize (Zea mays) germination,2013
PDF09657,43727_6799,The effect of low-concentration oxygen in sweep gas during pyrolysis of red oak using a fluidized bed reactor,2014
PDF09658,50447_7690,"The effect of low-temperature transformation of mixtures of sewage sludge and plant materials on content, leachability and toxicity of heavy metals",2014
PDF09659,46184_7558,The effect of sewage sludge biochar on peat-based growing media,2016
PDF09660,54461_8746,b'The effect of two different biochars on remediation of Cd-contaminated soil and Cd uptake by Lolium perenne.pdf',2020
PDF09661,46906_6999,b'The effect of \xce\xb3-FeOOH on enhancing arsenic adsorption from groundwater with DMAPAAQ\xe2\x80\x89+\xe2\x80\x89FeOOH gel composite.pdf',2020
PDF09662,78478_10401,The effects of biochar and compost amendments on copper immobilization and soil microorganisms in a temperate vineyard,2015
PDF09663,14306_2141,Microsoft Word - 064_06_urbankova_1077.doc,2014
PDF09664,39028_5725,The effects of rice (Oryza sativa L. ssp. japonica) husk biochar on nitrogen dynamics during the decomposition of hairy vetch in two soils under high-soil moisture condition,2017
PDF09665,59841_8889,The effects of sewage sludge and sewage sludge biochar on PAHs and potentially toxic element bioaccumulation in Cucumis sativa L.,2014
PDF09666,64860_8027,The effects of woodchip- and straw-derived biochars on the persistence of the herbicide 4-chloro-2-methylphenoxyacetic acid (MCPA) in soils,2014
PDF09667,70369_9967,The efficiency and economic aspects of phytoremediation technology using Phalaris arundinacea L. and Brassica napus L. combined with compost and nano SiO2 fertilization for the removal of PAH's from soil,2019
PDF09668,73390_10884,The factors affecting biochar application in restoring heavy metal-polluted soil and its potential applications,2018
PDF09669,55870_9411,,2014
PDF09670,35326_6214,ejss_12102.dvi,2014
PDF09671,42159_7119,b'The impact of agricultural and green waste treatments on compost quality of dewatered sludge.pdf',2020
PDF09672,17586_2494,Open Access proceedings Journal of Physics: Conference series,2017
PDF09673,58034_9040,The interactive effects of biochar and cow manure on rice growth and selected properties of salt-affected soil,2018
PDF09674,54042_8147,The Karrikin ‘Callisthenics’: Compounds Produced by Stress to Tolerate Stress: ,2019
PDF09675,55033_8619,b'The potential of biochar for reducing the negative effects of soil contamination on the phytochemical properties and heavy metal accumulation in wheat grainKrzysztof.pdf',2017
PDF09676,212232_24931,"The potential of lignocellulosic biomass precursors for biochar production_ Performance, mechanism and wastewater application—A review",2018
PDF09677,51414_8844,CJEP_A_608890 487..505 ++,2012
PDF09678,30903_4545,TF-CJEP120037 657..665 ++,2012
PDF09679,53044_7551,The potential use of natural vs commercial biosorbent material to remediate stream waters by removing heavy metal contaminants,2019
PDF09680,60684_8963,b'The promises of the Amazonian soil_ shifts in discourses of Terra Preta and biochar.pdf',2020
PDF09681,38345_5669,b'The pyrolysis of canteen waste and oak mixtures in various ratios.pdf',2018
PDF09682,58869_9083,b'The responses of soil organic carbon mineralization and microbial communities to fresh and aged biochar soil amendments.pdf',2020
PDF09683,47612_7991,The role of biochar in retaining nutrients in amended tropical soils,2014
PDF09684,71561_10888,The role of sulfur and phosphorusmobilizing bacteria in biocharinduced growth promotion of Lolium perenne,2014
PDF09685,37640_5149,The sorption of heavy metals on thermally treated sediments with high organic matter content,2014
PDF09686,49046_7638,b'The synergistic interaction between sulfate-reducing bacteria and pyrogenic carbonaceous matter in DDT decay.pdf',2020
PDF09687,76106_11587,The way forward in biochar research: targeting tradeoffs between the potential wins,2013
PDF09688,33701_4828,Thermal Conversion of Municipal Biowaste Anaerobic Digestate to Valuable Char,2019
PDF09689,38438_6491,b'Thermal Stability of Ordered Mesoporous Carbon Based Catalyst and Its Application in Conversion of Linseed Oil to Methyl Esters.pdf',2020
PDF09690,26247_4193,b'Thermal analysis of soil amended with sewage sludge and biochar.pdf',2012
PDF09691,66248_9170,Thermal conversion of a promising phytoremediation plant (Symphytum officinale L.) into biochar_ Dynamic of potentially toxic elements and environmental acceptability assessment of the biochar,2018
PDF09692,41386_4286,Thermo-chemical conversion of sawdust through in-situ quenching of pyro-vapor for green fuel,2015
PDF09693,47599_7908,untitled,2014
PDF09694,36031_5511,Thermogravimetric investigation of hydrochar-lignite co-combustion,2012
PDF09695,51999_7095,TiO2 supported on Salvinia molesta biochar for heterogeneous photocatalytic degradation of Acid Orange 7 dye,2019
PDF09696,53195_7984,sc8b05311 1..10,2019
PDF09697,35667_6570,,2012
PDF09698,116134_17899,Biochar physicochemical properties: pyrolysis temperature and feedstock kind effects,2020
PDF09699,71711_10105,Torrefaction and pyrolysis of metal-enriched poplars from phytotechnologies: Effect of temperature and biomass chlorine content on metal distribution in end-products and valorization options,2016
PDF09700,123261_20133,b'Torrefaction of biomass_ A review of production methods for biocoal from cultured and waste lignocellulosic feedstocks.pdf',2020
PDF09701,48092_6616,b'Torrefied and unmodified capsicum annuam biochar for the removal of synthetic hazardous pesticide (carbofuran) from watershed.pdf',2020
PDF09702,34226_5342,ejss_121141.dvi,2014
PDF09703,36836_4793,Towards sustainable agriculture for the salt‐affected soil,2019
PDF09704,51660_7134,Toxicity of Various Pyrolysis Liquids From Biosolids on Methane Production Yield,2019
PDF09705,53038_7456,Toxicity of biochars after polycyclic aromatic hydrocarbons removal by thermal treatment,2015
PDF09706,69081_8499,folder.joboptions,2015
PDF09707,75157_12737,REV_ISS_WEB_GCB_12459_20-5 1629..1642,2014
PDF09708,47498_7332,b'Transformation of biosolids to biochar_ A case study.pdf',2020
PDF09709,49839_7037,Transformation of phosphorus in sewage sludge biochar mediated by a phosphate-solubilizing microorganism,2018
PDF09710,46282_7025,es405676h 1..9,2014
PDF09711,68805_10109,b'Translocation of Phytoliths Within Natural Soil Profiles in Northeast China.pdf',2020
PDF09712,40901_6391,Turnover of Soil Carbon following Addition of Switchgrass&#x2010;Derived Biochar to Four Soils,2014
PDF09713,27414_4119,Microsoft Word - X11004_FINAL_Tsai_SL_Util_Driftwood_Energy_Environ_Econ_2007,2012
PDF09714,40528_6603,Ultra-high capacity and selective immobilization of Pb through crystal growth of hydroxypyromorphite on amino-functionalized hydrochar,2015
PDF09715,103663_13500,Unlocking the Potential of Biomass Energy in Pakistan,2019
PDF09716,49373_8064,soilsci_s09-0185.indd,2010
PDF09717,53033_7529,Upgrading of Scenedesmus obliquus oil to high-quality liquid-phase biofuel by nickel-impregnated biochar catalyst,2018
PDF09718,43293_6323,Upgrading of waste biomass by hydrothermal carbonization (HTC) and low temperature pyrolysis (LTP): A comparative evaluation,2013
PDF09719,26858_4218,,2015
PDF09720,38122_6061,"Urban biowaste for solid fuel production: Waste suitability assessment and experimental carbonization in Dar es Salaam, Tanzania",2015
PDF09721,75154_10291,Urea functionalization of ultrasound-treated biochar_ A feasible strategy for enhancing heavy metal adsorption capacity,2018
PDF09722,23347_3328,b'Use of Hazelnut_s Pruning to Produce Biochar by Gasifier Small Scale Plant.pdf',2015
PDF09723,76559_13693,b'Use of raw and acidified biochars as constituents of growth media for forest seedling production.pdf',2020
PDF09724,58501_10505,b'Using Processed Corn Stover as an(1).pdf',2019
PDF09725,40464_6074,b'Using Recycled Concrete as an Adsorbent to Remove Phosphate from Polluted Water.pdf',2020
PDF09726,32961_4357,folder.joboptions,2019
PDF09727,40254_6444,SR08036 437..444,2008
PDF09728,24724_3818,,2012
PDF09729,73384_4389,IEEE.joboptions,2015
PDF09730,42049_7249,agron_103_5_AJ10-0447Staggenborg.indd,2011
PDF09731,37956_5791,BIJP_A_922918_O,2014
PDF09732,34182_5501,Utilization of biochar impregnated with anaerobically digested slurry as slow‐release fertilizer,2014
PDF09733,59550_9944,,2015
PDF09734,27293_3900,Utilization of corn cob biochar in a direct carbon fuel cell,2014
PDF09735,33047_5095,b'Valorization of Fish Waste Compost as a Fertilizer for Agricultural Use.pdf',2020
PDF09736,55027_8494,"b'Valorization of Pine Needles by Thermal Conversion to Solid, Liquid and Gaseous Fuels in a Screw Reactor.pdf'",2020
PDF09737,64854_9922,b'Valorization of Swine Manure into Hydrochars.pdf',2020
PDF09738,58120_8859,b'Valorization of cattle manure by thermoconversion process in a rotary kiln reactor to produce environmentally friendly products.pdf',2020
PDF09739,55769_7617,Valorization of microalgal biomass by hydrothermal carbonization and anaerobic digestion,2018
PDF09740,159358_28465,b'Value-added chemicals from food supply chain wastes_ State-of-the-art review and future prospects.pdf',2020
PDF09741,46872_7412,Vertical and lateral transport of biochar in light-textured tropical soils,2016
PDF09742,37964_5810,untitled,2014
PDF09743,34337_5797,b'Volatilization of Ammonia Originating from Urea Treated with Oxidized Charcoal.pdf',2015
PDF09744,36766_5582,b'Voltammetric Electronic Tongue Based on Carbon Paste Electrodes Modified with Biochar for Phenolic Compounds Stripping Detection.pdf',2020
PDF09745,53434_7758,Microsoft Word - NRES 10586 layout.docx,2015
PDF09746,42237_5970,folder.joboptions,2010
PDF09747,42462_6730,,2011
PDF09748,57438_9025,Coupled steel slag and biochar amendment correlated with higher methanotrophic abundance and lower CH4 emission in subtropical paddies,2019
PDF09749,59744_9428,Effects of Pyrolysis Temperature and Holding Time on Physicochemical Properties of Swine-Manure-Derived Biochar,2018
PDF09750,51581_8409,folder.joboptions,2009
PDF09751,63508_8354,Water uptake in biochars: The roles of porosity and hydrophobicity,2014
PDF09752,66229_8129,Water-stable aggregates and carbon accumulation in barren sandy soil depend on organic amendment method: A three-year field study,2019
PDF09753,68586_9783,b'Weed as Underutilized Bio-resource and Management Tool_ A Comprehensive Review.pdf',2020
PDF09754,42460_7017,Improving Cu(II) sorption by biochar via pyrolyzation under CO2: the importance of inherent inorganic species,2018
PDF09755,95181_11865,What is the potential for biogas digesters to improve soil carbon sequestration in Sub-Saharan Africa? Comparison with other uses of organic residues,2014
PDF09756,56449_9649,,2014
PDF09757,41703_6652,,2014
PDF09758,47779_7849,Why short‐term biochar application has no yield benefits: evidence from three field‐grown crops,2015
PDF09759,42415_6899,Nutrient changes in potting mix and Eucalyptus nitens leaf tissue under macadamia biochar amendments,2017
PDF09760,42677_4852,SpringerPrint_0511_Acro7-8.joboptions,2018
PDF09761,39400_6499,,2012
PDF09762,35979_5140,"ESTIMATION OF TOTAL FACTOR PRODUCTIVITY GROWTH IN AGRICULTURE SECTOR IN PUNJAB, PAKISTAN: 1970-2005",2014
PDF09763,51526_8455,Adsorption of ammonium in aqueous solutions by pine sawdust and wheat straw biochars,2018
PDF09764,48248_7024,Labile organic carbon fractions and carbon pool management index in a 3-year field study with biochar amendment,2018
PDF09765,48898_7763,"Metal availability, soil nutrient, and enzyme activity in response to application of organic amendments in Cd-contaminated soil",2018
PDF09766,61415_9157,The synthetic evaluation of CuO-MnOx-modified pinecone biochar for simultaneous removal formaldehyde and elemental mercury from simulated flue gas,2018
PDF09767,46531_6329,Phosphate and ammonium adsorption of sesame straw biochars produced at different pyrolysis temperatures,2018
PDF09768,59070_9329,Changes in abundance and composition of nitrifying communities in barley (Hordeum vulgare L.) rhizosphere and bulk soils over the growth period following combined biochar and urea amendment,2020
PDF09769,128141_18042,Zero-waste algal biorefinery for bioenergy and biochar: A green leap towards achieving energy and environmental sustainability,2018
PDF09770,55769_8640,Characterization of modified biochars prepared at low pyrolysis temperature as an efficient adsorbent for atrazine removal,2017
PDF09771,14905_2241,Your Paper's Title Starts Here:,2018
PDF09772,66938_9040,b'Zubriketalcarblettkonecne.pdf',2018
PDF09773,63112_10538,b'[23279834 - HortScience] Amending Sandy Soil with Biochar Promotes Plant Growth and Root Colonization by Mycorrhizal Fungi in Highbush Blueberry.pdf',2020
PDF09774,67287_11125,b'[23279834 - HortScience] Biochar Affects Essential Nutrients of Carrot Taproots and Lettuce Leaves.pdf',2020
PDF09775,29673_5677,Biochar Alters the Root Systems of Large Crabgrass,2018
PDF09776,55674_8768,b'[23279834 - HortScience] Soil Amendments and Soil Profiling Impact on Macadamia Growth and Yield Performance.pdf',2019
PDF09777,87411_13563,OP-AJAE170140 955..974,2018
PDF09778,78748_11624,Contrasting effects of operating conditions and biomass particle size on bulk characteristics and surface chemistry of rice husk derived-biochars,2018
PDF09779,37039_5814,ac202166x 1..7,2012
PDF09780,60729_7317,ef9b03747 1..11,2020
PDF09781,47536_7145,sc7b03172 1..12,2018
PDF09782,90113_13598,b'activated carbon mixed with marine sediment is suitable as bioanode material for spartina anglica sediment palnt microbial.pdf',2020
PDF09783,47422_7709,b'addition of boiler charcoal waste to compost for use as substrate for vegetable seedling.pdf',2020
PDF09784,109675_17285,b'advances in the characterization methods of biomass pyrolysis products.pdf',2020
PDF09785,56312_9121,Phosphorus Distribution in Soils Treated with Bioenergy Co&#x2010;product Materials following Corn Growth,2018
PDF09786,49527_7524,"Multi&#x2010;Year Effects of Biochar, Lipo&#x2010;Chitooligosaccharide, Thuricin 17, and Experimental Bio&#x2010;Fertilizer for Switchgrass",2017
PDF09787,61087_9865,"Impacts of N&#x2010;stabilizers and Biochar on Nitrogen Losses, Nitrogen Phytoavailability, and Cotton Yield in Poultry Litter&#x2010;Fertilized Soils",2018
PDF09788,39899_6099,Effect of ball milling on the hydrolysis of microcrystalline cellulose in hot‐compressed water,2011
PDF09789,65753_11481,b'ameliorating a sandy soil using biochar and compost amendments and their implications as slow release fertilizers on plant growth.pdf',2020
PDF09790,108016_13950,Lactic acid fermentation of human excreta for agricultural application,2017
PDF09791,57973_9134,b'application of phosphate-containing materials affects bioavailability of rare earth elements and bacterial community in soils.pdf',2020
PDF09792,36910_5180,folder.joboptions,2012
PDF09793,40499_5722,"Synthesis, characterization and evaluation of biochar from agricultural waste biomass for use in building materials",2018
PDF09794,46959_7800,b'at20.pdf',2012
PDF09795,24094_3873,b'azizi2012.pdf',2015
PDF09796,55435_8769,Biochar reduces nutrient loss and improves microbial biomass of composted cattle manure and maize straw,2020
PDF09797,26310_3635,b'barbora2018g.pdf',2018
PDF09798,57163_8991,bbb_1344.indd,2012
PDF09799,71781_10826,BBB169.indd,2009
PDF09800,66669_8725,Generating biocrude from partially defatted Cryptococcus curvatus yeast residues through catalytic hydrothermal liquefaction,2017
PDF09801,61719_10161,Pyrolysis of contaminated wheat straw to stabilize toxic metals in biochar but recycle the extract for agricultural use,2018
PDF09802,63106_9632,b'biochemical compositional analysis and kinetic modeling of hydrothermal carbonization of austalian saltbush.pdf',2020
PDF09803,69534_9998,"Effect of biochar, hydraulic residence time, and nutrient loading on greenhouse gas emission in laboratory-scale denitrifying bioreactors",2018
PDF09804,53276_7186,Fast nitrate and fluoride adsorption and magnetic separation from water on α-Fe2O3 and Fe3O4 dispersed on Douglas fir biochar,2018
PDF09805,46512_6491,Pyrolysis of switchgrass in an auger reactor for biochar production_ A greenhouse gas and energy impacts assessment,2018
PDF09806,38993_5845,b'briquette preparation with biomassa binder.pdf',2020
PDF09807,33445_5496,c2gc35071h 1928..1934 ++,2012
PDF09808,56898_9257,The feasibility of char and bio-oil production from pyrolysis of pit latrine sludge,2018
PDF09809,48320_8187,Sorption characteristics of N-acyl homserine lactones as signal molecules in natural soils based on the analysis of kinetics and isotherms,2018
PDF09810,34735_6025,"Research into the reaction process and the effect of reaction conditions on the simultaneous removal of H2S, COS and CS2 at low temperature",2018
PDF09811,47033_7659,Simultaneous removal of Sb(iii) and Cd(ii) in water by adsorption onto a MnFe2O4–biochar nanocomposite,2018
PDF09812,54634_9284,Lead and uranium sorptive removal from aqueous solution using magnetic and nonmagnetic fast pyrolysis rice husk biochars,2018
PDF09813,58760_9533,Significant promotion of porous architecture and magnetic Fe3O4 NPs inside honeycomb-like carbonaceous composites for enhanced microwave absorption,2018
PDF09814,55038_8779,Opal promotes hydrothermal carbonization of hydroxypropyl methyl cellulose and formation of carbon nanospheres,2018
PDF09815,46545_7587,Sorption of tetracycline on biochar derived from rice straw and swine manure,2018
PDF09816,59859_10125,Removal of methylene blue from aqueous solution by cattle manure-derived low temperature biochar,2018
PDF09817,41501_6726,Structural and adsorption characteristics of potassium carbonate activated biochar,2018
PDF09818,38753_6393,Biochar supported sulfide-modified nanoscale zero-valent iron for the reduction of nitrobenzene,2018
PDF09819,50413_8355,Lead (Pb2+) sorptive removal using chitosan-modified biochar: batch and fixed-bed studies,2018
PDF09820,52532_8707,Preparation of high-yield N-doped biochar from nitrogen-containing phosphate and its effective adsorption for toluene,2018
PDF09821,54049_8893,Adsorption-assisted decontamination of Hg(ii) from aqueous solution by multi-functionalized corncob-derived biochar,2018
PDF09822,58857_9740,Physical modification of biochar to expose the inner pores and their functional groups to enhance lead adsorption,2018
PDF09823,51451_8434,Biomass tar cracking and syngas production using rice husk char-supported nickel catalysts coupled with microwave heating,2018
PDF09824,55735_9335,Biochar derived from corn stalk and polyethylene co-pyrolysis: characterization and Pb(ii) removal potential,2020
PDF09825,49873_8047,Adsorption of divalent cadmium by calcified iron-embedded carbon beads,2020
PDF09826,42768_6351,"Short-term effects on soil of biogas digestate, biochar and their combinations ",2018
PDF09827,36093_5897,C:\iTools\WMS\TandF-Journals\3288765\WorkingFolder\LCSS_A_701687.dvi,2012
PDF09828,38671_5437,Wood-Biochar-Supported Magnetite Nanoparticles for Remediation of PAH-Contaminated Estuary Sediment,2018
PDF09829,50772_7255,Characteristics of reactivity and structures of palm kernel shell (PKS) biochar during CO2/H2O mixture gasification,2018
PDF09830,36700_4700,Removal of dissolved organic matter from raw water using zero valent iron -carbonaceous conjugated microporous polymer nanocomposites,2018
PDF09831,41068_5623,untitled,2009
PDF09832,62656_8056,Quantification and characterization of chemically-and thermally-labile and recalcitrant biochar fractions,2017
PDF09833,63688_8850,Classical theory and electron-scale view of exceptional Cd(II) adsorption onto mesoporous cellulose biochar via experimental analysis coupled with DFT calculations,2018
PDF09834,44918_7223,,2004
PDF09835,46955_6092,Synthesis of cobalt-impregnated carbon composite derived from a renewable resource: Characterization and catalytic performance evaluation,2017
PDF09836,46484_7077,The direct oxidation of hydrogen sulphide over activated carbons prepared from lignite coal and biochar,2011
PDF09837,59663_9632,doi:10.4141/CJSS2011-066,2012
PDF09838,33448_5200,"Effects of Biochar, N Fertilizer, and Crop Residues on Greenhouse Gas Emissions from Acidic Soils",2018
PDF09839,50343_8893,b'corn stover-derived biochar for efficient adsorption of oxytetracycline from wastewater.pdf',2020
PDF09840,61644_8997,Fading positive effect of biochar on crop yield and soil acidity during five growth seasons in an Indonesian Ultisol,2018
PDF09841,59231_7723,Amendment soil with biochar to control antibiotic resistance genes under unconventional water resources irrigation: Proceed with caution,2018
PDF09842,48749_6994,b'distribution and transformation behaviors of heavy metals during liquefaction process of sewage sludge.pdf',2020
PDF09843,57514_8793,Microsoft Word - W2W.ES12375.final.docx,2018
PDF09844,59333_8509,Microsoft Word - W2W.ES12366.final.docx,2018
PDF09845,47942_7464,Microsoft Word - W2W.ES12404.final.docx,2018
PDF09846,43589_6529,Microsoft Word - W2W.ES12414.final.docx,2018
PDF09847,69639_10011,Microsoft Word - W2W. ES12526.final.docx,2018
PDF09848,46558_6996,Biochar-mediated enhanced ethanol fermentation (BMEEF) in Zymomonas mobilis under furfural and acetic acid stress,2020
PDF09849,43353_6678,Effects of torrefied wood chip and vermicompost application on vegetation growth and nutrient uptake in the Saemangeum reclaimed land,2020
PDF09850,29984_4265,Microsoft Word - W2W.ES12774.final.docx,2018
PDF09851,45549_7025,Surface oxygenation of biochar through ozonization for dramatically enhancing cation exchange capacity,2018
PDF09852,62616_8421,Biochar application constrained native soil organic carbon accumulation from wheat residue inputs in a long-term wheat-maize cropping system,2017
PDF09853,51327_7304,Production of biochar and bioenergy from rice husk_ Influence of feedstock drying on particulate matter and the associated polycyclic aromatic hydrocarbon emissions,2018
PDF09854,37058_5777,Characterization of pyrolysis products derived from three biological wastes and their effect on plant growth and soil water retention,2018
PDF09855,27048_4156,Effects of pyrolysis parameters on the yield and properties of biochar from pelletized sunflower husk,2018
PDF09856,58572_9556,"Transport and retention of biochar particles in porous media: effect of pH, ionic strength, and particle size",2010
PDF09857,50032_7999,C:\iTools\WMS\TandF-Journals\2805480\WorkingFolder\WJSA_A_627993.dvi,2011
PDF09858,98573_15832,untitled,2012
PDF09859,42133_8799,acs_ef_ef-2010-008117 1..8,2010
PDF09860,35544_5891,acs_ef_ef-2010-00936j 1..8,2010
PDF09861,52112_8276,acs_ef_ef-2010-00957a 1..9,2010
PDF09862,37924_5802,acs_ef_ef-2010-011963 1..8,2010
PDF09863,55906_8682,acs_ef_ef-2010-01535e 1..13,2011
PDF09864,25606_4105,acs_EF_ef-2011-00546v 1..5,2011
PDF09865,49486_7805,acs_EF_ef-2011-011657 1..10,2011
PDF09866,33612_5331,ef3006004 1..6,2012
PDF09867,31619_5120,"Analysis of Bio-Oil, Biogas, and Biochar from Pressurized Pyrolysis of Wheat Straw Using a Tubular Reactor",2009
PDF09868,39417_6037,Real-Time and Post-reaction Microscopic Structural Analysis of Biomass Undergoing Pyrolysis,2009
PDF09869,38998_6281,Biochar as a Fuel: 1. Properties and Grindability of Biochars Produced from the Pyrolysis of Mallee Wood under Slow-Heating Conditions,2009
PDF09870,47000_7511,acs_ef_ef-2009-00534n 1..9,2009
PDF09871,19476_3122,No Job Name,2020
PDF09872,34534_4915,b'effect of alkaline surface modification and carbonization on biochemical properties of rice and coffee husks for use in briquettes and fiber-reinforced plastics.pdf',2020
PDF09873,36506_5804,b'effect of chemical aging of alternanthera philoxeroldes-derived biochar on the adsorption of Pb(II).pdf',2020
PDF09874,47565_7319,b'effect of hydrothermal carbonization conditions on the physicochemical properties and gasification reactivity of energy grass.pdf',2020
PDF09875,82273_12620,b'effect of microwave and thermal co-pyrolysis of low-rank coal and pine wood on product distributions and char structure.pdf',2020
PDF09876,41700_6442,b'effects of biochar on water movement characteristics in sandy soil under drip irrigation.pdf',2020
PDF09877,42588_6723,b'effects of different corn straw amendments on humus composition and structural characteristics of humic acid in black soil.pdf',2020
PDF09878,53692_8199,"b'effects of the chemical structure, surface, and micropore properties of activated and oxidized black carbon on the sorption and desorption of phenanthrene.pdf'",2020
PDF09879,44592_6817,b'effects of three types of soil amendments on yield and soil nitrogen balance.pdf',2020
PDF09880,32472_5015,1481 TRE 103.1_03_1200001 13..18,2013
PDF09881,36506_5719,1481 TRE 103.1_02_1200005 5..11,2013
PDF09882,28002_4188,Microsoft Word - 31_Elmer.docx,2012
PDF09883,41403_5711,Biochar-ammonium phosphate as an uncoated-slow release fertilizer in sandy soil,2018
PDF09884,119652_18042,"Impact of Thermal Pretreatment Temperatures on Woody Biomass Chemical Composition, Physical Properties and Microstructure",2017
PDF09885,126937_18153,"Hydrothermal Carbonization: Modeling, Final Properties Design and Applications: A Review",2018
PDF09886,48342_7760,Characterization of biochar from fast pyrolysis and gasification systems,2009
PDF09887,44210_7015,Pelletization of biochar from hydrothermally carbonized wood,2012
PDF09888,23008_3498,Mineral nutrient recovery from pyrolysis systems,2012
PDF09889,34561_5305,Effect of Aging on Surface Chemistry of Rice Husk&#8208;Derived Biochar,2018
PDF09890,40048_6426,Energy Balance and Emissions Associated with Biochar Sequestration and Pyrolysis Bioenergy Production,2008
PDF09891,45374_6920,acs_ES_es-2010-03301k 1..8,2011
PDF09892,33880_5317,acs_ES_es-2010-03752u 1..6,2011
PDF09893,40427_5937,acs_ES_es-2010-04401h 1..7,2011
PDF09894,42831_6390,acs_ES_es-2011-004528 1..8,2011
PDF09895,46309_7228,acs_ES_es-2011-01859j 1..9,2011
PDF09896,38370_5997,acs_ES_es-2011-02186j 1..8,2011
PDF09897,44128_6993,es2029697 1..9,2012
PDF09898,58194_9697,acs_ES_es-2011-02970x 1..9,2011
PDF09899,51416_8369,es203984k 1..9,2012
PDF09900,41417_6201,research 1..7,2012
PDF09901,38696_6029,es301107c 1..6,2012
PDF09902,44889_6556,es302971d 1..10,2012
PDF09903,37259_5987,Abiotic and Microbial Oxidation of Laboratory-Produced Black Carbon (Biochar),2010
PDF09904,36994_5689,Improved understanding of tributyltin sorption on natural and biochar‐amended sediments,2011
PDF09905,45452_6368,Utilization of fly ash as pH adjustment for efficient immobilization and reutilization of nutrients from swine manure using hydrothermal treatment,2018
PDF09906,53284_8124,b'fbde86506a468bfd7fe2f149e3188d73f90a.pdf',Not Found
PDF09907,43501_6976,Synergy on particulate matter emission during the combustion of bio-oil/biochar slurry (bioslurry),2017
PDF09908,61593_9874,"b'field and laboratory studies linking hydrologic, geochemical, and microbiological processes and enhanced denitrification during infiltration for managed recharge.pdf'",2020
PDF09909,53820_6080,High Quality Print-600 dpi.joboptions,2012
PDF09910,17794_2889,b'fuels derived from papermaking and coffee wastes.pdf',2020
PDF09911,90212_16204,Offsetting global warming‐induced elevated greenhouse gas emissions from an arable soil by biochar application,2017
PDF09912,73434_11556,Woody biochar's greenhouse gas mitigation potential across fertilized and unfertilized agricultural soils and soil moisture regimes,2017
PDF09913,61059_9131,Soil carbon increased by twice the amount of biochar carbon applied after 6 years: Field evidence of negative priming,2020
PDF09914,23461_3560,Intriguing Carbon Flake Formation during Microwave&#x02010;Assisted Hydrothermal Carbonization of Sodium Lignosulfonate,2020
PDF09915,66933_9362,Improving the surface properties of municipal solid waste-derived pyrolysis biochar by chemical and thermal activation: Optimization of process parameters and environmental application,2017
PDF09916,58550_9080,Effects of sugar cane bagasse biochar and spent mushroom compost on phosphorus fractionation in calcareous soils,2018
PDF09917,48678_8157,b'graphite oxide and graphene oxid supported catalysts for microwave assisted glucose isomerisation in water.pdf',2020
PDF09918,23620_4002,"b'growth, yield and quality of cluster bean.pdf'",2020
PDF09919,66184_9032,Biotransformation of cadmium-sulfamethazine combined pollutant in aqueous environments_ Phanerochaete chrysosporium bring cautious optimism,2018
PDF09920,54749_7892,Stability of immobilization remediation of several amendments on cadmium contaminated soils as affected by simulated soil acidification,2018
PDF09921,84538_11735,Healing cement mortar by immobilization of bacteria in biochar: An integrated approach of self-healing and carbon sequestration,2017
PDF09922,59636_9074,Q11-0145.indd,2012
PDF09923,63614_8744,Synthesis and characterization of an iron-impregnated biochar for aqueous arsenic removal,2017
PDF09924,37004_5523,Lessons in Biochar: Advancing Research Through Service Learning Courses in Nepal,2018
PDF09925,52367_6672,"Mechanistic insights into sequestration of U(VI) toward magnetic biochar: Batch, XPS and EXAFS techniques",2018
PDF09926,14740_2152,Microsoft Word - 81.docx,2018
PDF09927,26470_4046,"b'hydrothermal preparation of biochar from spent coffe grounds, and its application for the removal of cadmium from coal tailings leachate.pdf'",2020
PDF09928,62515_9059,b'ideas and perspectives synergies from co-deployment of negative emission technologies.pdf',2020
PDF09929,51216_8037,acs_IE_ie-2011-00679n 1..9,2011
PDF09930,41290_6472,acs_IE_ie-2011-01092h 1..8,2011
PDF09931,37430_5834,ie300565d 1..9,2012
PDF09932,29820_4591,ie301236h 1..8,2012
PDF09933,74881_11471,Adsorption of Cadmium on Degraded Soils Amended with Maize-Stalk-Derived Biochar,2018
PDF09934,47604_6722,b'ijerph-17-00827-v2.pdf',2020
PDF09935,30406_4558,"b'influence of the addition of cotton stalk during co-pyrolysis with sewage sludge on the properties, surface characteristics, and ecological risks of biochars.pdf'",2020
PDF09936,41593_6256,b'influence of torrefaction on properties of activated carbon obtained from physical activation of pyrolysis char.pdf',2020
PDF09937,45091_7481,b'investigations on cunninghamia lanceolate cedar wood pyrolysis by thermogravimetric-fouries transform infrared analysis and a modified discrete distributed.pdf',2020
PDF09938,63050_10417,untitled,2010
PDF09939,26710_4346,125_18JNN02-15251.dvi,2017
PDF09940,53411_7913,Potential Nitrogen Losses in Relation to Spatially Distinct Soil Management History and Biochar Addition,2018
PDF09941,44087_6855,acs_jf_jf-2010-02152q 1..7,2010
